Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
Gold,Gold,A,D,1,Heuristic-Z,CausalImpact,Causal,48.447214,26.723773,99278717.0829,-0.0594
Gold,Gold,A,D,1,Heuristic-Z,DML,Causal,48.36991,27.808484,2371752431.9133,-0.0519
Gold,Gold,A,D,1,Heuristic-Z,VAR+Granger,Causal,47.22022,26.785873,678939543.0012,-0.0037
Gold,Gold,A,D,1,Heuristic-Z,IV-2SLS,Causal,47.210834,26.684656,391737847.6075,-0.0021
Gold,Gold,A,D,5,Heuristic-Z,CausalImpact,Causal,46.839096,26.193605,65398396.5632,-0.011
Gold,Gold,A,D,5,Heuristic-Z,DML,Causal,48.085808,27.048179,1243345532.3535,-0.0383
Gold,Gold,A,D,5,Heuristic-Z,VAR+Granger,Causal,47.23152,26.588405,48467646.1422,-0.0042
Gold,Gold,A,D,5,Heuristic-Z,IV-2SLS,Causal,47.213182,26.618739,427603970.1666,-0.0022
Gold,Gold,A,D,21,Heuristic-Z,CausalImpact,Causal,44.450319,24.750797,88239616.9155,-0.0276
Gold,Gold,A,D,21,Heuristic-Z,DML,Causal,47.38534,27.217242,2070675008.8297,-0.0047
Gold,Gold,A,D,21,Heuristic-Z,VAR+Granger,Causal,47.243856,26.570561,55691349.3735,-0.0047
Gold,Gold,A,D,21,Heuristic-Z,IV-2SLS,Causal,47.37839,26.722483,292242318.3663,-0.0044
Gold,Gold,A,D,1,Expert-DAG,CausalImpact,Causal,47.162574,26.472262,4210160.9461,-0.004
Gold,Gold,A,D,1,Expert-DAG,DML,Causal,48.495234,27.758991,162531320.9897,-0.0574
Gold,Gold,A,D,1,Expert-DAG,VAR+Granger,Causal,47.162646,26.795879,581286000.7293,-0.0013
Gold,Gold,A,D,1,Expert-DAG,IV-2SLS,Causal,47.210834,26.684656,391737847.6075,-0.0021
Gold,Gold,A,D,5,Expert-DAG,CausalImpact,Causal,46.665972,26.119791,13924166.5073,-0.0035
Gold,Gold,A,D,5,Expert-DAG,DML,Causal,48.04021,26.95735,658991633.3396,-0.0363
Gold,Gold,A,D,5,Expert-DAG,VAR+Granger,Causal,47.072956,26.659641,193515778.8084,0.0025
Gold,Gold,A,D,5,Expert-DAG,IV-2SLS,Causal,47.213182,26.618739,427603970.1666,-0.0022
Gold,Gold,A,D,21,Expert-DAG,CausalImpact,Causal,44.077595,24.815731,1523236.0543,-0.0104
Gold,Gold,A,D,21,Expert-DAG,DML,Causal,47.286859,26.917372,333391533.0271,-0.0005
Gold,Gold,A,D,21,Expert-DAG,VAR+Granger,Causal,47.252044,26.580032,49209269.2924,-0.0051
Gold,Gold,A,D,21,Expert-DAG,IV-2SLS,Causal,47.37839,26.722483,292242318.3663,-0.0044
Gold,Gold,A,D,1,PC-DAG,CausalImpact,Causal,48.066848,26.658606,60458698.3362,-0.0429
Gold,Gold,A,D,1,PC-DAG,DML,Causal,47.888786,27.494001,1021023009.8231,-0.0311
Gold,Gold,A,D,1,PC-DAG,VAR+Granger,Causal,47.22022,26.785873,678939543.0012,-0.0037
